time,I1P.conc,PP1Sp.n,PP1_active.N,S.N,S1.N,Sp.N,ca.conc
119.0,0.00279998380286,5.96437114537e-06,1.35862758423e-06,0.00535598145353,0.0581253698787,19.9145410952,0.0001
120.0,0.00279998355291,3.90287084744e-06,2.75443239733e-06,0.0054379401216,0.0578728775978,19.9146128494,0.0001
121.0,0.00280000121943,5.73271611712e-06,1.5565935599e-06,0.00551981187458,0.0576214901216,19.9146919337,0.0001
122.0,0.00279997813632,2.44140190045e-06,3.7809098617e-06,0.0056024457048,0.0573712026625,19.9147616445,0.0001
123.0,0.00279998321896,7.1760110994e-06,6.46038839739e-07,0.0056854085793,0.0571220104812,19.9148225892,0.0001
124.0,0.00279997962652,1.13044785732e-06,4.70075818768e-06,0.00576865101827,0.0568739088358,19.9148950694,0.0001
125.0,0.0027999813317,4.37163104489e-06,2.55994366506e-06,0.00585213767066,0.0566268929923,19.914959616,0.0001
126.0,0.00279998309466,8.34951747302e-06,-6.694182689e-08,0.00593583143942,0.0563809582605,19.9150255686,0.0001
127.0,0.00279999368259,9.82713067577e-06,-1.03471399506e-06,0.00601995905389,0.0561360999607,19.9150897432,0.0001
128.0,0.00279998585162,5.47742614954e-06,1.89190463841e-06,0.00610456663299,0.0558923134362,19.9151543481,0.0001
129.0,0.00279998679129,5.57674741881e-06,1.84895694942e-06,0.00618939077009,0.0556495940426,19.9152166859,0.0001
130.0,0.00279998638746,6.95262676787e-06,9.54414013277e-07,0.00627472846945,0.0554079371673,19.9152710313,0.0001
131.0,0.0027999754126,4.14269415491e-06,2.85819165255e-06,0.00636040557875,0.0551673382249,19.9153285814,0.0001
132.0,0.002799979481,2.90314673202e-06,3.70935458375e-06,0.00644644970789,0.0549277926283,19.9153824484,0.0001
133.0,0.00279998143943,6.94134131747e-06,1.04080996004e-06,0.0065328409795,0.0546892958326,19.9154298185,0.0001
134.0,0.00279997625804,1.94624432978e-06,4.39891942263e-06,0.0066197479942,0.0544518433085,19.915480429,0.0001
135.0,0.00279998404522,8.64882106197e-06,-4.95898395912e-08,0.00670673742376,0.0542154305327,19.9155258398,0.0001
136.0,0.00279998197688,3.78964882822e-06,3.21316071853e-06,0.00679439388629,0.0539800530159,19.9155726825,0.0001
